name,ubi,business_type,address,agent_name,status
ALITY TECHNOLOGIES DE LLC,605 652 325,FOREIGN LIMITED LIABILITY COMPANY,"1 REAN DR, UNIT 2801, NORTH YORK, ON, M2K3C1, CANADA",C T CORPORATION SYSTEM,ACTIVE
ARCUM LUX TECHNOLOGIES LLC,605 660 991,WA LIMITED LIABILITY COMPANY,"3590 A ST, TACOMA, WA, 98418-7902, UNITED STATES",JONATHAN WILLIAMS,ACTIVE
ATLAS AVIATION TECH LLC,605 666 908,WA LIMITED LIABILITY COMPANY,"305 GLEN COVE RD, PORT TOWNSEND, WA, 98368-9795, UNITED STATES",JED BOTHELL,ACTIVE
CATALYST TECHNICAL CONSULTING GROUP LLC,605 651 031,FOREIGN LIMITED LIABILITY COMPANY,"16 BILTMORE AVE STE 300, ASHEVILLE, NC, 28801-3617, UNITED STATES",STEPHAN STANIULIS,ACTIVE
DAITO TECHNOLOGIES NORTH AMERICA CORPORATION,605 649 778,WA PROFIT CORPORATION,N/A,BAXTER LAW INTERNATIONAL PLLC,ACTIVE
FONTECHA CREATIVE STUDIOS LLC,605 661 551,WA LIMITED LIABILITY COMPANY,"14110 NE 21ST ST # 1197, BELLEVUE, WA, 98007-3719, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
FROSTBYTE TECHNOLOGIES,605 658 286,WA NONPROFIT CORPORATION,N/A,VENKATESAN NARAYANAN,ACTIVE
FUTURE TECH INNOVATION LLC,605 657 357,WA LIMITED LIABILITY COMPANY,"11311 179TH CT NE, REDMOND, WA, 98052-7426, UNITED STATES",RAKESH HEMRAJANI,ACTIVE
GREYMATTERTECH INC,605 664 776,WA PROFIT CORPORATION,"14716 97TH AVE NE, BOTHELL, WA, 98011-7271, UNITED STATES",ARUN ARORA,ACTIVE
JLT TECH LLC,605 659 244,WA LIMITED LIABILITY COMPANY,"522 W RIVERSIDE AVE STE N, SPOKANE, WA, 99201-0581, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",ACTIVE
KNN3 TECHNOLOGY LTD.,605 656 578,WA PROFIT CORPORATION,"100 N HOWARD ST STE R, SPOKANE, WA, 99201-0508, UNITED STATES",REGISTERED AGENTS INC.,ACTIVE
MECHTECH LLC,605 646 776,WA LIMITED LIABILITY COMPANY,"2334 HENDERSON LOOP, RICHLAND, WA, 99354, UNITED STATES",JEFFREY MERCER,ACTIVE
MKSMARTTECH LLC,605 662 136,WA LIMITED LIABILITY COMPANY,"3943 62ND AVENUE CT E, FIFE, WA, 98424-2363, UNITED STATES",ENTITY PROTECT REGISTERED AGENT SERVICES LLC,ACTIVE
MM INVESTMENT TECHNOLOGIES LLC,605 665 834,WA LIMITED LIABILITY COMPANY,"160 NW GILMAN BLVD STE 423, ISSAQUAH, WA, 98027-2549, UNITED STATES",DEE VAZQUEZ,ACTIVE
MORPHOLOGY TECHNOLOGY CONSULTANT LLC,605 667 202,WA LIMITED LIABILITY COMPANY,"9916 NOTTINGHAM DR, PASCO, WA, 99301-6734, UNITED STATES",MAIRA OLIVERA,ACTIVE
NIGHTPULSE TECH INC,605 662 217,WA PROFIT CORPORATION,"6040 CALIFORNIA AVE SW STE C, SEATTLE, WA, 98136-1684, UNITED STATES",LEO SYN BYRON,ACTIVE
"OFFICIAL TECHNOLOGIES, INC.",605 384 217,FOREIGN PROFIT CORPORATION,"240 2ND AVE S STE 300, SEATTLE, WA, 98104-2250, UNITED STATES","INCORPORATING SERVICES, LTD",ACTIVE
QUANTARIUM AI PROPTECH LLC,605 664 949,FOREIGN LIMITED LIABILITY COMPANY,"2018 156TH AVE NE, BELLEVUE, WA, 98007-3825, UNITED STATES",COGENCY GLOBAL INC.,ACTIVE
"RUMBLES TECH, LLC",605 664 220,WA LIMITED LIABILITY COMPANY,"2104 HENKLE ST, RAYMOND, WA, 98577-4017, UNITED STATES",HEZEKIAH RUMBLES,ACTIVE
SUMMERS SECURITY AND TECHNOLOGY LLC,605 667 913,WA LIMITED LIABILITY COMPANY,"3309 104TH AVE NE, LAKE STEVENS, WA, 98258-5679, UNITED STATES",BRADFORD SUMMERS,ACTIVE
TRUE TECH SOLUTIONS INC,605 665 820,WA PROFIT CORPORATION,"21460 SE 299TH WAY, KENT, WA, 98042-9244, UNITED STATES",BHARAT PAREKH,ACTIVE
VIAL HEALTH TECHNOLOGY INC.,604 775 531,FOREIGN PROFIT CORPORATION,"1050 BATTERY ST STE 150, SAN FRANCISCO, CA, 94111-1249, UNITED STATES",CORPORATION SERVICE COMPANY,ACTIVE
