name,ubi,business_type,address,agent_name,status
BRICK BY BRICK MASONRY OF SEATTLE LLC,605 651 353,WA LIMITED LIABILITY COMPANY,"27221 104TH AVE SE, KENT, WA, 98030-7653, UNITED STATES",ANDREW KIRK,ACTIVE
SAL FLORAL DESIGN SEATTLE LLC,605 657 163,WA LIMITED LIABILITY COMPANY,"1219 1ST AVE, SEATTLE, WA, 98101-2998, UNITED STATES",JUAN RAMOS BURCIAGA,ACTIVE
SEATTLE ART MUSEUM VISITOR SERVICES OFFICERS UNION,605 664 632,WA NONPROFIT CORPORATION,N/A,EXECUTIVE BOARD MEMBERS,ACTIVE
"SEATTLE BETTA, LLC",605 661 385,WA LIMITED LIABILITY COMPANY,"24406 101ST PL SE, KENT, WA, 98030-5172, UNITED STATES","LAM BETTA, LLC",ACTIVE
SEATTLE BIRTH CO LLC,605 665 155,WA LIMITED LIABILITY COMPANY,"8840 NE 202ND PL, BOTHELL, WA, 98011-2101, UNITED STATES",DARIA LITVINOV,ACTIVE
SEATTLE CREMATIONS LLC,605 664 673,WA LIMITED LIABILITY COMPANY,"11630 SLATER AVE NE, KIRKLAND, WA, 98034-4100, UNITED STATES",CRAIG BARTON,ACTIVE
SEATTLE QUALITY SIDING LLC,605 662 364,WA LIMITED LIABILITY COMPANY,"3600 S OREGON ST APT 6, SEATTLE, WA, 98118-6611, UNITED STATES",RICARDO GARCIA-GARCIA,ACTIVE
SEATTLE TRAVIS LLC,605 667 606,WA LIMITED LIABILITY COMPANY,"522 W RIVERSIDE AVE STE N, SPOKANE, WA, 99201-0581, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",ACTIVE
SEATTLEBKATS LLC,605 665 185,WA LIMITED LIABILITY COMPANY,"522 W RIVERSIDE AVE STE N, SPOKANE, WA, 99201-0581, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",ACTIVE
WEST SEATTLE AUTOMOTIVE L.L.C.,605 667 914,WA LIMITED LIABILITY COMPANY,"2517 22ND AVENUE CT SE, PUYALLUP, WA, 98372-5165, UNITED STATES",MAHALA BISHOP,ACTIVE
MIKE'S TRANSPORT LLC,605 661 570,WA LIMITED LIABILITY COMPANY,"29211 MILITARY RD S, FEDERAL WAY, WA, 98003-7915, UNITED STATES",MANUEL PINEDA CONTRERAS,ACTIVE
MIKES FINE TURNERY LLC,605 667 706,WA LIMITED LIABILITY COMPANY,"7143 PUGET BEACH RD NE, OLYMPIA, WA, 98516-9546, UNITED STATES",MICHAEL JOHNSON,ACTIVE
