name,ubi,business_type,address,agent_name,status
APEX BIOCLEAN LLC,605 658 281,WA LIMITED LIABILITY COMPANY,"505 DEARBORN AVE, SHELTON, WA, 98584-1523, UNITED STATES",APEX BIOCLEAN,ACTIVE
"BIOFICITY, LLC",605 665 709,WA LIMITED LIABILITY COMPANY,"4305 LAKE WASHINGTON BLVD NE APT 2203, KIRKLAND, WA, 98033-7825, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",ACTIVE
"KHOROS BIO, INC.",605 662 647,WA PROFIT CORPORATION,"8339 SE 57TH ST, MERCER ISLAND, WA, 98040-4906, UNITED STATES",JEFFREY OSTER,ACTIVE
"SYMBIOTIC INDUSTRIAL DESIGN, LLC",605 662 948,WA LIMITED LIABILITY COMPANY,"10404 17TH AVE SW, SEATTLE, WA, 98146-1306, UNITED STATES",TREVOR KNAPP,ACTIVE
"USANTIBIOTICS, LLC",604 821 606,FOREIGN LIMITED LIABILITY COMPANY,"2655 NORTHWINDS PKWY, ALPHARETTA, GA, 30009-2280, UNITED STATES",CORPORATION SERVICE COMPANY,ACTIVE
AGGREGATE HOLDINGS LLC,605 660 589,WA LIMITED LIABILITY COMPANY,"595 MEEKER LN, LYNDEN, WA, 98264-5500, UNITED STATES",REGAN SAYRES,ACTIVE
BLANK SLATE HR LLC,605 637 323,WA LIMITED LIABILITY COMPANY,"1629 112TH AVE SE, LAKE STEVENS, WA, 98258-8217, UNITED STATES",MICHELLE FOODEN,ACTIVE
EQUITY REAL ESTATE HOLDINGS LLC,605 662 853,WA LIMITED LIABILITY COMPANY,"2705 S CEDAR ST, KENNEWICK, WA, 99337-5619, UNITED STATES",SARA ROGERS,ACTIVE
MEDRITE HEALTH LLC,605 647 361,FOREIGN LIMITED LIABILITY COMPANY,"5106 NE 3RD PL, RENTON, WA, 98059-5057, UNITED STATES",BRITTANY COBB,ACTIVE
RENOVATE HOME IMPROVEMENTS LLC,605 660 997,WA LIMITED LIABILITY COMPANY,"121 SW 304TH ST, FEDERAL WAY, WA, 98023-3938, UNITED STATES",EDITH VALSAINT,ACTIVE
"TAF INTERMEDIATE HOLDINGS, LLC",604 900 282,FOREIGN LIMITED LIABILITY COMPANY,"301 HILLSBOROUGH ST STE 1020, RALEIGH, NC, 27603-4275, UNITED STATES",C T CORPORATION SYSTEM,ACTIVE
